icd_code,disease_name,chapter,synonyms,short_desc
A000,"Cholera due to Vibrio cholerae 01, biovar cholerae",Infectious diseases,,"A bacterial infection that causes severe diarrhea and vomiting, usually spread through contaminated food or water."
A011,Paratyphoid fever A,Infectious diseases,,Paratyphoid fever A is a type of food poisoning caused by eating contaminated food or water with certain bacteria.
A020,Salmonella enteritis,Infectious diseases,,"Salmonella enteritis is a type of food poisoning that causes stomach cramps, diarrhea, and fever after eating contaminated food."
A030,Shigellosis due to Shigella dysenteriae,Infectious diseases,,"A bacterial infection that causes severe diarrhea and stomach cramps, often spread through contaminated food or water."
A040,Enteropathogenic Escherichia coli infection,Infectious diseases,,"It's a type of bacterial infection that causes diarrhea and stomach cramps, often spread through contaminated food or water."
A050,Foodborne staphylococcal intoxication,Infectious diseases,,It's a food poisoning illness caused by eating food contaminated with a type of bacteria called Staphylococcus.
A060,Acute amebic dysentery,Infectious diseases,,"A rare and serious infection caused by a parasite that affects the intestines, leading to severe diarrhea."
A070,Balantidiasis,Infectious diseases,,"Balantidiasis is a rare and usually mild intestinal infection caused by a parasite called Balantidium, often spread through contaminated water."
A080,Rotaviral enteritis,Infectious diseases,,Rotaviral enteritis is a common and usually mild stomach illness caused by a virus that affects young children.
A150,Tuberculosis of lung,Infectious diseases,,Tuberculosis of the lung is a bacterial infection that causes inflammation and damage to lung tissue.
A170,Tuberculous meningitis,Infectious diseases,,Tuberculous meningitis is a rare and serious infection of the lining around the brain and spinal cord caused by TB.
A182,Tuberculous peripheral lymphadenopathy,Infectious diseases,,It's a medical term for swollen lymph nodes caused by tuberculosis infection in the body.
A190,Acute miliary tuberculosis of a single specified site,Infectious diseases,,"A rare and serious form of TB that affects only one part of the body, like a lung or bone."
A200,Bubonic plague,Infectious diseases,,"The bubonic plague is a rare and serious bacterial infection that can cause fever, swelling, and painful spots."
A210,Ulceroglandular tularemia,Infectious diseases,,Ulceroglandular tularemia is a rare bacterial infection that causes swollen lymph nodes and painful sores.
A220,Cutaneous anthrax,Infectious diseases,,"Cutaneous anthrax is a rare skin infection caused by the bacteria Bacillus anthracis, usually from an animal bite."
A230,Brucellosis due to Brucella melitensis,Infectious diseases,,"A rare bacterial infection that can be spread through contact with infected animals or their products, like unpasteurized milk."
A240,Glanders,Infectious diseases,,"Glanders is a rare and serious bacterial infection that affects the lungs and kidneys, usually spread through horses."
A250,Spirillosis,Infectious diseases,bacterial infection|Bacterial infection disorder|Bacterial infection disease,Bacterial infection within Certain infectious and parasitic diseases. Category-level grouping.
A260,Cutaneous erysipeloid,Infectious diseases,mycosis|Mycosis disorder|Mycosis disease,Mycosis within Certain infectious and parasitic diseases. Category-level grouping.
A270,Leptospirosis icterohemorrhagica,Infectious diseases,,"It's a bacterial infection that can cause severe liver and kidney problems, often spread through contaminated water or soil."
A280,Pasteurellosis,Infectious diseases,,"Pasteurellosis is a bacterial infection that can cause symptoms like fever, cough, and swollen lymph nodes in the neck."
A300,Indeterminate leprosy,Infectious diseases,,"A rare and serious form of leprosy where the disease doesn't fully go away, but can be managed."
A310,Pulmonary mycobacterial infection,Infectious diseases,,A type of lung infection caused by a germ called Mycobacterium that can be serious and hard to treat.
A320,Cutaneous listeriosis,Infectious diseases,,Cutaneous listeriosis is a rare skin infection caused by eating food contaminated with the bacteria Listeria.
A360,Pharyngeal diphtheria,Infectious diseases,,Pharyngeal diphtheria is a rare and serious illness caused by bacteria that can lead to severe throat infections.
A380,Scarlet fever with otitis media,Infectious diseases,,A rare complication where scarlet fever (a bacterial infection) causes ear pain and inflammation in the middle ear.
A390,Meningococcal meningitis,Infectious diseases,,"It's a serious infection that inflames the membranes around your brain and spinal cord, caused by bacteria."
A400,"Sepsis due to streptococcus, group A",Infectious diseases,,A rare but serious infection caused by a type of bacteria called Streptococcus A that can lead to life-threatening sepsis.
A411,Sepsis due to other specified staphylococcus,Infectious diseases,,A severe infection caused by a type of bacteria called Staphylococcus that's not listed in the medical book.
A420,Pulmonary actinomycosis,Infectious diseases,,Pulmonary actinomycosis is a rare infection in the lungs caused by bacteria that can be hard to treat.
A430,Pulmonary nocardiosis,Infectious diseases,,Pulmonary nocardiosis is a rare lung infection caused by bacteria that can be hard to treat and often serious.
A440,Systemic bartonellosis,Infectious diseases,,"Systemic bartonellosis is a rare and serious infection caused by the bacteria Bartonella, which can affect many parts of the body."
A480,Gas gangrene,Infectious diseases,,Gas gangrene is a serious infection that causes tissue to rot and produce gas bubbles under the skin.
A491,"Streptococcal infection, unspecified site",Infectious diseases,,A general term for a bacterial infection caused by strep bacteria that doesn't specify where the infection occurred.
A501,"Early congenital syphilis, latent",Infectious diseases,,"A condition where a baby has syphilis that's not causing symptoms now, but might appear later in life."
A510,Primary genital syphilis,Infectious diseases,,Primary genital syphilis is a bacterial infection that causes sores or rashes on the genitals and surrounding areas.
A522,Asymptomatic neurosyphilis,Infectious diseases,,Asymptomatic neurosyphilis refers to a condition where syphilis has damaged the brain without causing noticeable symptoms.
A530,"Latent syphilis, unspecified as early or late",Infectious diseases,,"""Latent syphilis means the disease has been present in your body for a while, but it's not showing symptoms."
